ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600167.SH,20251231,7.03,0.5156,1.7308,1.01,24.1386,22.9223,1.4674,4.5329,4.7242,4.4875,2.7968,226284.0463,226284.0463,67406.2721,1590776.8455,1590776.8455
600167.SH,20251230,7.1,0.436,1.4638,0.82,24.3789,23.1505,1.482,4.578,4.7712,4.4432,2.7692,226284.0463,226284.0463,67406.2721,1606616.7287,1606616.7287
600167.SH,20251229,7.05,0.6289,2.1114,1.25,24.2073,22.9875,1.4716,4.5458,4.7376,4.4747,2.7889,226284.0463,226284.0463,67406.2721,1595302.5264,1595302.5264
600167.SH,20251226,7.15,0.5696,1.9122,1.16,24.5506,23.3136,1.4924,4.6102,4.8048,4.4122,4.3998,226284.0463,226284.0463,67406.2721,1617930.931,1617930.931
600167.SH,20251225,7.18,0.487,1.6348,1.0,24.6536,23.4114,1.4987,4.6296,4.825,4.3937,4.3814,226284.0463,226284.0463,67406.2721,1624719.4524,1624719.4524
600167.SH,20251224,7.15,0.4409,1.4801,0.85,24.5506,23.3136,1.4924,4.6102,4.8048,4.4122,4.3998,226284.0463,226284.0463,67406.2721,1617930.931,1617930.931
600167.SH,20251223,7.05,0.5204,1.7471,0.89,24.2073,22.9875,1.4716,4.5458,4.7376,4.4747,4.4622,226284.0463,226284.0463,67406.2721,1595302.5264,1595302.5264
600167.SH,20251222,7.17,0.4905,1.6465,0.78,24.6193,23.3788,1.4966,4.6231,4.8183,4.3999,4.3875,226284.0463,226284.0463,67406.2721,1622456.612,1622456.612
600167.SH,20251219,7.13,0.5177,1.738,0.66,24.482,23.2483,1.4883,4.5974,4.7914,4.4245,4.4121,226284.0463,226284.0463,67406.2721,1613405.2501,1613405.2501
600167.SH,20251218,7.03,0.4638,1.5571,0.52,24.1386,22.9223,1.4674,4.5329,4.7242,4.4875,4.4749,226284.0463,226284.0463,67406.2721,1590776.8455,1590776.8455
600167.SH,20251217,7.09,0.5911,1.9843,0.59,24.3446,23.1179,1.4799,4.5716,4.7645,4.4495,4.437,226284.0463,226284.0463,67406.2721,1604353.8883,1604353.8883
600167.SH,20251216,7.07,0.8525,2.8617,0.73,24.2759,23.0527,1.4757,4.5587,4.7511,4.4621,4.4495,226284.0463,226284.0463,67406.2721,1599828.2073,1599828.2073
600167.SH,20251215,7.26,0.7067,2.3724,0.46,24.9283,23.6722,1.5154,4.6812,4.8787,4.3453,4.3331,226284.0463,226284.0463,67406.2721,1642822.1761,1642822.1761
600167.SH,20251212,7.43,1.3378,4.491,0.64,25.512,24.2265,1.5509,4.7908,4.993,4.2459,4.2339,226284.0463,226284.0463,67406.2721,1681290.464,1681290.464
600167.SH,20251211,7.45,0.9931,3.334,0.4,25.5807,24.2917,1.555,4.8037,5.0064,4.2345,4.2226,226284.0463,226284.0463,67406.2721,1685816.1449,1685816.1449
600167.SH,20251210,7.62,1.1507,3.8629,0.48,26.1644,24.8461,1.5905,4.9133,5.1207,4.14,4.1284,226284.0463,226284.0463,67406.2721,1724284.4328,1724284.4328
600167.SH,20251209,7.59,1.6335,5.4836,0.74,26.0614,24.7482,1.5843,4.894,5.1005,4.1564,4.1447,226284.0463,226284.0463,67406.2721,1717495.9114,1717495.9114
600167.SH,20251208,7.91,2.5244,8.4744,1.31,27.1602,25.7916,1.6511,5.1003,5.3155,3.9882,3.977,226284.0463,226284.0463,67406.2721,1789906.8062,1789906.8062
600167.SH,20251205,8.26,4.2239,14.1797,3.34,28.362,26.9329,1.7241,5.326,5.5507,3.8192,3.8085,226284.0463,226284.0463,67406.2721,1869106.2224,1869106.2224
600167.SH,20251204,9.06,2.7564,9.2533,2.95,31.1089,29.5414,1.8911,5.8418,6.0883,3.482,3.4722,226284.0463,226284.0463,67406.2721,2050133.4595,2050133.4595
600167.SH,20251203,8.24,0.8218,2.7588,0.82,28.2933,26.8676,1.7199,5.3131,5.5373,3.8285,3.8177,226284.0463,226284.0463,67406.2721,1864580.5415,1864580.5415
600167.SH,20251202,8.19,0.777,2.6085,0.66,28.1216,26.7046,1.7095,5.2808,5.5037,3.8519,3.8411,226284.0463,226284.0463,67406.2721,1853266.3392,1853266.3392
600167.SH,20251201,8.44,1.0224,3.4321,0.74,28.98,27.5198,1.7617,5.442,5.6717,3.7378,3.7273,226284.0463,226284.0463,67406.2721,1909837.3508,1909837.3508
600167.SH,20251128,8.3,0.955,3.206,0.58,28.4993,27.0633,1.7325,5.3518,5.5776,3.8008,3.7902,226284.0463,226284.0463,67406.2721,1878157.5843,1878157.5843
